alumno,carrera,sexo,calidad
97,Analista en Sistemas de Información,F,A
98,Programador Universitario de Sistemas,M,A
99,Ciclo Complementario para la Licenciatura en Actividad Física,F,A
100,Programador Universitario de Sistemas,M,A
101,Ciclo Complementario para la Licenciatura en Actividad Física,F,P
102,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
103,Ciclo Complementario para la Licenciatura en Actividad Física,F,P
104,Tecnicatura Universitaria en Logística,M,A
105,Tecnicatura Universitaria en Logística,F,A
106,Tecnicatura Universitaria en Diseño de Comunicación,F,P
107,Tecnicatura Universitaria en Logística,F,A
108,Tecnicatura Universitaria en Diseño de Comunicación,M,A
109,Tecnicatura Universitaria en Diseño de Comunicación,M,A
110,Tecnicatura Superior en Gestión Ambiental,M,P
111,Tecnicatura Superior en Gestión Ambiental,F,A
112,Bioingeniería,F,A
114,Bioingeniería,M,A
115,Bioingeniería,M,A
116,Tecnicatura Universitaria en Diseño de Comunicación,F,A
117,Tecnicatura Universitaria en Diseño de Comunicación,F,P
118,Analista en Sistemas de Información,M,A
119,Programador Universitario de Sistemas,M,P
121,Licenciatura en Obstetricia,F,A
122,Licenciatura en Obstetricia,F,A
124,Licenciatura en Obstetricia,F,P
125,Licenciatura en Obstetricia,F,A
126,Licenciatura en Obstetricia,F,A
127,Licenciatura en Obstetricia,F,P
128,Licenciatura en Obstetricia,F,P
129,Licenciatura en Obstetricia,F,P
130,Licenciatura en Obstetricia,F,A
131,Licenciatura en Obstetricia,F,A
132,Licenciatura en Obstetricia,F,P
133,Licenciatura en Enfermería,F,A
134,Licenciatura en Enfermería,F,A
135,Licenciatura en Enfermería,F,A
136,Licenciatura en Enfermería,F,P
137,Licenciatura en Enfermería,F,P
138,Licenciatura en Enfermería,F,A
139,Licenciatura en Enfermería,F,A
140,Licenciatura en Enfermería,F,P
141,Licenciatura en Enfermería,F,A
142,Licenciatura en Enfermería,F,P
143,Licenciatura en Enfermería,M,A
144,Licenciatura en Obstetricia,F,A
145,Licenciatura en Enfermería,F,A
146,Licenciatura en Enfermería,F,P
147,Licenciatura en Enfermería,F,A
148,Licenciatura en Enfermería,F,A
149,Licenciatura en Enfermería,F,P
150,Licenciatura en Economía,F,P
151,Analista en Sistemas de Información,M,A
152,Analista en Sistemas de Información,M,A
153,Analista en Sistemas de Información,M,P
154,Licenciatura en Obstetricia,F,A
155,Licenciatura en Obstetricia,F,A
156,Analista en Sistemas de Información,F,P
157,Licenciatura en Obstetricia,F,A
158,Analista en Sistemas de Información,M,P
159,Licenciatura en Obstetricia,F,A
161,Analista en Sistemas de Información,F,A
162,Analista en Sistemas de Información,M,A
163,Analista en Sistemas de Información,M,A
164,Analista en Sistemas de Información,F,A
165,Analista en Sistemas de Información,M,A
167,Analista en Sistemas de Información,F,A
168,Analista en Sistemas de Información,M,P
169,Analista en Sistemas de Información,F,P
170,Analista en Sistemas de Información,M,A
171,Tecnicatura Superior en Gestión Ambiental,F,A
172,Tecnicatura Superior en Gestión Ambiental,M,A
173,Tecnicatura Superior en Gestión Ambiental,F,A
174,Tecnicatura Superior en Gestión Ambiental,F,A
175,Tecnicatura Superior en Gestión Ambiental,F,P
176,Tecnicatura Universitaria en Diseño de Comunicación,M,A
177,Tecnicatura Universitaria en Diseño de Comunicación,F,P
178,Tecnicatura Universitaria en Diseño de Comunicación,F,A
179,Tecnicatura Universitaria en Diseño de Comunicación,F,P
180,Tecnicatura Universitaria en Diseño de Comunicación,F,A
181,Tecnicatura Universitaria en Agroalimentos,M,A
182,Tecnicatura Universitaria en Agroalimentos,M,A
183,Bioingeniería,F,A
184,Bioingeniería,F,A
185,Bioingeniería,M,A
186,Tecnicatura Universitaria en Agroalimentos,M,P
187,Bioingeniería,F,A
188,Bioingeniería,M,A
189,Tecnicatura Universitaria en Agroalimentos,M,P
190,Bioingeniería,M,A
191,Tecnicatura Universitaria en Agroalimentos,F,P
192,Tecnicatura Universitaria en Agroalimentos,M,A
194,Licenciatura en Economía,F,A
195,Licenciatura en Economía,M,A
196,Licenciatura en Economía,F,A
197,Ingeniería en Agroindustria,M,P
198,Licenciatura en Economía,F,A
199,Programador Universitario de Sistemas,F,A
200,Programador Universitario de Sistemas,M,A
203,Licenciatura en Kinesiología y Fisiatría,M,P
204,Tecnicatura Universitaria en Logística,F,A
205,Tecnicatura Universitaria en Logística,M,P
206,Tecnicatura Universitaria en Logística,F,P
207,Tecnicatura Universitaria en Logística,M,A
208,Tecnicatura Universitaria en Logística,F,A
209,Tecnicatura Universitaria en Logística,M,A
210,Tecnicatura Universitaria en Logística,M,P
211,Tecnicatura Universitaria en Logística,F,P
212,Tecnicatura Universitaria en Logística,M,A
213,Tecnicatura Universitaria en Logística,M,A
214,Tecnicatura Universitaria en Logística,M,A
215,Licenciatura en Kinesiología y Fisiatría,F,A
216,Tecnicatura Universitaria en Logística,F,A
217,Licenciatura en Kinesiología y Fisiatría,F,A
218,Licenciatura en Kinesiología y Fisiatría,F,A
219,Licenciatura en Kinesiología y Fisiatría,M,A
220,Licenciatura en Kinesiología y Fisiatría,F,A
221,Licenciatura en Obstetricia,F,A
222,Licenciatura en Obstetricia,F,A
223,Licenciatura en Kinesiología y Fisiatría,M,P
224,Licenciatura en Obstetricia,F,A
225,Licenciatura en Kinesiología y Fisiatría,F,A
226,Licenciatura en Obstetricia,F,P
227,Licenciatura en Obstetricia,F,A
228,Licenciatura en Kinesiología y Fisiatría,M,A
229,Licenciatura en Obstetricia,F,P
230,Licenciatura en Kinesiología y Fisiatría,F,A
231,Licenciatura en Obstetricia,F,A
232,Licenciatura en Obstetricia,F,A
233,Licenciatura en Obstetricia,F,A
234,Licenciatura en Obstetricia,F,A
235,Licenciatura en Obstetricia,F,A
236,Licenciatura en Obstetricia,F,P
237,Licenciatura en Obstetricia,F,A
238,Licenciatura en Kinesiología y Fisiatría,M,A
239,Licenciatura en Obstetricia,F,A
240,Licenciatura en Obstetricia,F,A
241,Licenciatura en Obstetricia,F,A
242,Licenciatura en Kinesiología y Fisiatría,F,A
243,Licenciatura en Obstetricia,F,P
244,Licenciatura en Kinesiología y Fisiatría,F,A
245,Licenciatura en Obstetricia,F,P
246,Licenciatura en Kinesiología y Fisiatría,F,A
247,Licenciatura en Obstetricia,F,A
248,Licenciatura en Kinesiología y Fisiatría,F,A
249,Licenciatura en Obstetricia,F,P
250,Licenciatura en Obstetricia,F,P
251,Licenciatura en Kinesiología y Fisiatría,F,A
252,Licenciatura en Obstetricia,F,P
253,Licenciatura en Kinesiología y Fisiatría,F,A
254,Licenciatura en Obstetricia,F,A
255,Licenciatura en Obstetricia,F,P
256,Licenciatura en Kinesiología y Fisiatría,F,A
257,Licenciatura en Obstetricia,F,A
259,Licenciatura en Obstetricia,F,A
260,Licenciatura en Kinesiología y Fisiatría,M,P
261,Licenciatura en Obstetricia,F,A
262,Licenciatura en Kinesiología y Fisiatría,F,P
263,Licenciatura en Obstetricia,F,A
264,Licenciatura en Obstetricia,F,P
265,Licenciatura en Kinesiología y Fisiatría,F,A
266,Licenciatura en Obstetricia,F,A
267,Licenciatura en Kinesiología y Fisiatría,M,A
268,Licenciatura en Kinesiología y Fisiatría,F,P
269,Licenciatura en Kinesiología y Fisiatría,F,A
270,Licenciatura en Enfermería,F,P
272,Licenciatura en Enfermería,F,A
273,Licenciatura en Enfermería,M,A
274,Licenciatura en Enfermería,F,A
275,Licenciatura en Enfermería,F,A
276,Licenciatura en Kinesiología y Fisiatría,F,P
277,Licenciatura en Kinesiología y Fisiatría,F,A
278,Licenciatura en Enfermería,F,A
279,Licenciatura en Kinesiología y Fisiatría,F,A
280,Licenciatura en Enfermería,F,A
281,Licenciatura en Kinesiología y Fisiatría,F,A
282,Licenciatura en Enfermería,F,A
283,Licenciatura en Kinesiología y Fisiatría,F,A
284,Licenciatura en Enfermería,F,A
285,Licenciatura en Enfermería,F,P
286,Licenciatura en Kinesiología y Fisiatría,M,A
287,Licenciatura en Enfermería,F,P
288,Licenciatura en Enfermería,F,A
289,Licenciatura en Kinesiología y Fisiatría,F,A
290,Licenciatura en Enfermería,F,A
291,Licenciatura en Kinesiología y Fisiatría,F,A
292,Licenciatura en Enfermería,F,A
293,Licenciatura en Kinesiología y Fisiatría,F,P
294,Licenciatura en Kinesiología y Fisiatría,F,A
295,Licenciatura en Enfermería,F,P
296,Licenciatura en Enfermería,F,A
297,Licenciatura en Enfermería,F,P
298,Licenciatura en Kinesiología y Fisiatría,F,A
299,Licenciatura en Enfermería,M,P
300,Licenciatura en Kinesiología y Fisiatría,F,A
301,Licenciatura en Enfermería,F,A
302,Licenciatura en Kinesiología y Fisiatría,F,A
303,Licenciatura en Enfermería,F,P
304,Licenciatura en Kinesiología y Fisiatría,F,P
305,Licenciatura en Enfermería,F,A
306,Licenciatura en Kinesiología y Fisiatría,M,P
307,Licenciatura en Economía,F,P
308,Licenciatura en Kinesiología y Fisiatría,F,A
309,Licenciatura en Kinesiología y Fisiatría,F,A
310,Licenciatura en Kinesiología y Fisiatría,F,A
311,Licenciatura en Kinesiología y Fisiatría,F,P
312,Licenciatura en Kinesiología y Fisiatría,M,A
313,Licenciatura en Kinesiología y Fisiatría,F,P
314,Licenciatura en Kinesiología y Fisiatría,M,A
315,Licenciatura en Kinesiología y Fisiatría,F,P
316,Licenciatura en Kinesiología y Fisiatría,F,A
317,Licenciatura en Kinesiología y Fisiatría,M,P
318,Licenciatura en Kinesiología y Fisiatría,F,A
319,Licenciatura en Kinesiología y Fisiatría,F,A
320,Licenciatura en Kinesiología y Fisiatría,F,P
321,Licenciatura en Kinesiología y Fisiatría,F,P
322,Licenciatura en Kinesiología y Fisiatría,F,P
323,Licenciatura en Kinesiología y Fisiatría,F,A
324,Licenciatura en Kinesiología y Fisiatría,M,A
325,Licenciatura en Kinesiología y Fisiatría,F,P
326,Licenciatura en Kinesiología y Fisiatría,F,A
327,Licenciatura en Kinesiología y Fisiatría,F,A
328,Licenciatura en Kinesiología y Fisiatría,F,P
329,Licenciatura en Kinesiología y Fisiatría,F,A
330,Licenciatura en Kinesiología y Fisiatría,F,A
331,Licenciatura en Kinesiología y Fisiatría,M,A
332,Licenciatura en Kinesiología y Fisiatría,F,P
333,Licenciatura en Kinesiología y Fisiatría,F,P
334,Licenciatura en Kinesiología y Fisiatría,M,A
335,Licenciatura en Kinesiología y Fisiatría,F,A
336,Licenciatura en Kinesiología y Fisiatría,M,P
337,Licenciatura en Kinesiología y Fisiatría,F,A
338,Licenciatura en Kinesiología y Fisiatría,F,A
339,Licenciatura en Kinesiología y Fisiatría,M,A
340,Licenciatura en Kinesiología y Fisiatría,F,A
341,Licenciatura en Kinesiología y Fisiatría,F,A
342,Licenciatura en Kinesiología y Fisiatría,F,A
343,Licenciatura en Kinesiología y Fisiatría,M,A
344,Licenciatura en Kinesiología y Fisiatría,F,P
345,Licenciatura en Kinesiología y Fisiatría,F,P
346,Licenciatura en Kinesiología y Fisiatría,F,A
347,Licenciatura en Kinesiología y Fisiatría,F,P
348,Licenciatura en Kinesiología y Fisiatría,F,P
349,Licenciatura en Kinesiología y Fisiatría,F,A
350,Licenciatura en Kinesiología y Fisiatría,M,P
351,Licenciatura en Kinesiología y Fisiatría,F,P
352,Licenciatura en Kinesiología y Fisiatría,F,A
353,Licenciatura en Kinesiología y Fisiatría,F,A
354,Licenciatura en Kinesiología y Fisiatría,M,A
355,Licenciatura en Kinesiología y Fisiatría,F,P
356,Licenciatura en Kinesiología y Fisiatría,F,A
357,Licenciatura en Kinesiología y Fisiatría,F,P
358,Licenciatura en Kinesiología y Fisiatría,F,A
359,Licenciatura en Kinesiología y Fisiatría,F,P
360,Licenciatura en Kinesiología y Fisiatría,M,A
361,Licenciatura en Kinesiología y Fisiatría,F,A
362,Licenciatura en Kinesiología y Fisiatría,F,A
363,Licenciatura en Kinesiología y Fisiatría,F,A
364,Licenciatura en Kinesiología y Fisiatría,F,P
365,Licenciatura en Kinesiología y Fisiatría,F,A
366,Licenciatura en Kinesiología y Fisiatría,F,A
367,Licenciatura en Kinesiología y Fisiatría,F,A
368,Licenciatura en Kinesiología y Fisiatría,F,A
370,Licenciatura en Kinesiología y Fisiatría,F,P
372,Licenciatura en Kinesiología y Fisiatría,M,P
374,Licenciatura en Kinesiología y Fisiatría,F,P
375,Licenciatura en Kinesiología y Fisiatría,F,A
376,Licenciatura en Kinesiología y Fisiatría,F,A
377,Licenciatura en Kinesiología y Fisiatría,M,A
378,Licenciatura en Kinesiología y Fisiatría,F,A
379,Licenciatura en Kinesiología y Fisiatría,F,A
380,Licenciatura en Kinesiología y Fisiatría,M,A
381,Licenciatura en Kinesiología y Fisiatría,F,A
382,Licenciatura en Kinesiología y Fisiatría,F,P
383,Licenciatura en Kinesiología y Fisiatría,M,P
384,Licenciatura en Kinesiología y Fisiatría,F,P
385,Licenciatura en Kinesiología y Fisiatría,F,P
387,Ciclo Complementario para la Licenciatura en Actividad Física,M,A
388,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
389,Licenciatura en Enfermería,F,P
390,Tecnicatura Universitaria en Logística,F,A
391,Tecnicatura Universitaria en Logística,F,A
392,Tecnicatura Universitaria en Logística,M,A
393,Tecnicatura Universitaria en Logística,F,A
394,Tecnicatura Universitaria en Logística,M,A
395,Tecnicatura Universitaria en Logística,F,P
396,Tecnicatura Universitaria en Logística,F,A
397,Tecnicatura Universitaria en Logística,F,A
398,Licenciatura en Enfermería,F,A
399,Licenciatura en Enfermería,F,A
400,Tecnicatura Universitaria en Logística,M,A
401,Licenciatura en Enfermería,F,A
402,Licenciatura en Enfermería,F,P
403,Tecnicatura Universitaria en Logística,F,A
404,Licenciatura en Enfermería,F,P
405,Licenciatura en Enfermería,F,A
406,Tecnicatura Superior en Gestión Ambiental,F,A
407,Tecnicatura Superior en Gestión Ambiental,M,P
408,Licenciatura en Enfermería,M,A
409,Tecnicatura Universitaria en Agroalimentos,M,P
410,Programador Universitario de Sistemas,M,P
411,Programador Universitario de Sistemas,M,A
412,Analista en Sistemas de Información,F,A
413,Analista en Sistemas de Información,M,A
414,Analista en Sistemas de Información,M,A
415,Analista en Sistemas de Información,M,A
416,Licenciatura en Enfermería,F,A
417,Analista en Sistemas de Información,M,A
418,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
419,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
420,Analista en Sistemas de Información,M,A
422,Ciclo Complementario para la Licenciatura en Actividad Física,F,A
423,Ciclo Complementario para la Licenciatura en Actividad Física,F,P
424,Ciclo Complementario para la Licenciatura en Actividad Física,M,A
425,Ciclo Complementario para la Licenciatura en Actividad Física,F,A
426,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
427,Ciclo Complementario para la Licenciatura en Actividad Física,M,A
428,Ciclo Complementario para la Licenciatura en Actividad Física,F,P
429,Analista en Sistemas de Información,M,A
430,Ciclo Complementario para la Licenciatura en Actividad Física,F,P
431,Analista en Sistemas de Información,M,A
432,Licenciatura en Enfermería,F,A
433,Licenciatura en Enfermería,F,A
434,Licenciatura en Enfermería,M,A
435,Licenciatura en Obstetricia,F,A
437,Licenciatura en Obstetricia,F,A
438,Licenciatura en Enfermería,F,A
439,Licenciatura en Enfermería,F,P
440,Licenciatura en Obstetricia,F,A
441,Licenciatura en Enfermería,M,A
442,Licenciatura en Kinesiología y Fisiatría,F,A
443,Licenciatura en Enfermería,F,A
444,Licenciatura en Kinesiología y Fisiatría,M,A
445,Licenciatura en Kinesiología y Fisiatría,F,A
446,Licenciatura en Kinesiología y Fisiatría,F,P
447,Licenciatura en Kinesiología y Fisiatría,M,A
448,Licenciatura en Kinesiología y Fisiatría,F,P
449,Licenciatura en Kinesiología y Fisiatría,F,A
450,Licenciatura en Kinesiología y Fisiatría,F,A
451,Licenciatura en Kinesiología y Fisiatría,F,P
452,Licenciatura en Kinesiología y Fisiatría,M,P
453,Licenciatura en Kinesiología y Fisiatría,F,A
454,Licenciatura en Kinesiología y Fisiatría,F,P
455,Licenciatura en Kinesiología y Fisiatría,F,A
456,Licenciatura en Kinesiología y Fisiatría,F,A
457,Licenciatura en Kinesiología y Fisiatría,M,A
458,Licenciatura en Kinesiología y Fisiatría,F,A
459,Licenciatura en Kinesiología y Fisiatría,M,P
461,Licenciatura en Kinesiología y Fisiatría,F,P
462,Licenciatura en Kinesiología y Fisiatría,F,P
463,Licenciatura en Kinesiología y Fisiatría,M,A
464,Licenciatura en Kinesiología y Fisiatría,F,P
465,Licenciatura en Kinesiología y Fisiatría,M,P
466,Licenciatura en Kinesiología y Fisiatría,M,A
467,Licenciatura en Kinesiología y Fisiatría,F,A
468,Licenciatura en Kinesiología y Fisiatría,M,A
469,Licenciatura en Obstetricia,F,A
470,Licenciatura en Kinesiología y Fisiatría,F,P
471,Licenciatura en Obstetricia,M,A
472,Licenciatura en Kinesiología y Fisiatría,F,A
473,Licenciatura en Kinesiología y Fisiatría,F,P
474,Licenciatura en Obstetricia,F,P
475,Licenciatura en Kinesiología y Fisiatría,M,P
476,Licenciatura en Obstetricia,F,A
477,Licenciatura en Kinesiología y Fisiatría,M,P
478,Licenciatura en Kinesiología y Fisiatría,F,A
479,Licenciatura en Economía,M,A
480,Licenciatura en Kinesiología y Fisiatría,F,A
481,Licenciatura en Kinesiología y Fisiatría,F,P
482,Licenciatura en Economía,F,P
483,Licenciatura en Kinesiología y Fisiatría,F,A
484,Licenciatura en Economía,F,A
485,Licenciatura en Kinesiología y Fisiatría,F,A
486,Licenciatura en Economía,F,A
487,Licenciatura en Economía,F,P
488,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
489,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
490,Licenciatura en Economía,F,A
491,Licenciatura en Economía,M,A
492,Licenciatura en Economía,F,A
493,Licenciatura en Economía,F,A
494,Ciclo Complementario para la Licenciatura en Actividad Física,M,P
495,Licenciatura en Economía,M,A
496,Ciclo Complementario para la Licenciatura en Actividad Física,M,A
497,Licenciatura en Enfermería,F,A
498,Licenciatura en Enfermería,F,P
500,Licenciatura en Kinesiología y Fisiatría,F,A
501,Licenciatura en Enfermería,F,A
502,Licenciatura en Enfermería,F,A
503,Licenciatura en Enfermería,F,A
504,Licenciatura en Enfermería,F,A
505,Licenciatura en Enfermería,F,A
506,Licenciatura en Economía,M,P
507,Licenciatura en Enfermería,M,P
508,Licenciatura en Economía,M,P
509,Tecnicatura Universitaria en Logística,M,P
510,Tecnicatura Universitaria en Logística,F,P
511,Tecnicatura Universitaria en Logística,M,P
512,Tecnicatura Universitaria en Logística,F,A
513,Tecnicatura Universitaria en Logística,F,A
514,Tecnicatura Universitaria en Logística,M,P
515,Tecnicatura Universitaria en Logística,M,A
516,Licenciatura en Kinesiología y Fisiatría,F,P
517,Licenciatura en Kinesiología y Fisiatría,F,A
518,Licenciatura en Kinesiología y Fisiatría,F,P
520,Licenciatura en Kinesiología y Fisiatría,F,A
521,Bioingeniería,M,P
523,Bioingeniería,F,A
524,Bioingeniería,F,A
525,Programador Universitario de Sistemas,M,A
526,Programador Universitario de Sistemas,M,P
527,Licenciatura en Kinesiología y Fisiatría,F,P
528,Licenciatura en Kinesiología y Fisiatría,F,A
529,Licenciatura en Kinesiología y Fisiatría,M,P
530,Licenciatura en Kinesiología y Fisiatría,F,A
531,Licenciatura en Kinesiología y Fisiatría,F,A
532,Licenciatura en Kinesiología y Fisiatría,M,A
533,Licenciatura en Kinesiología y Fisiatría,F,A
534,Licenciatura en Kinesiología y Fisiatría,F,P
535,Licenciatura en Kinesiología y Fisiatría,F,A
536,Licenciatura en Kinesiología y Fisiatría,F,P
537,Licenciatura en Kinesiología y Fisiatría,F,A
538,Licenciatura en Kinesiología y Fisiatría,F,P
539,Licenciatura en Kinesiología y Fisiatría,F,A
540,Licenciatura en Kinesiología y Fisiatría,F,A
541,Programador Universitario de Sistemas,M,A
542,Programador Universitario de Sistemas,M,P
543,Programador Universitario de Sistemas,M,A
544,Licenciatura en Kinesiología y Fisiatría,F,A
545,Licenciatura en Kinesiología y Fisiatría,M,A
546,Licenciatura en Kinesiología y Fisiatría,F,A
547,Licenciatura en Kinesiología y Fisiatría,M,A
548,Licenciatura en Kinesiología y Fisiatría,M,A
549,Licenciatura en Kinesiología y Fisiatría,F,A
550,Licenciatura en Kinesiología y Fisiatría,F,A
551,Licenciatura en Kinesiología y Fisiatría,F,A
552,Licenciatura en Kinesiología y Fisiatría,F,A
553,Licenciatura en Kinesiología y Fisiatría,F,A
554,Licenciatura en Kinesiología y Fisiatría,M,A
555,Licenciatura en Kinesiología y Fisiatría,F,A
556,Analista en Sistemas de Información,M,P
557,Analista en Sistemas de Información,F,A
558,Analista en Sistemas de Información,M,A
559,Analista en Sistemas de Información,M,A
560,Analista en Sistemas de Información,M,A
561,Licenciatura en Kinesiología y Fisiatría,F,P
562,Licenciatura en Kinesiología y Fisiatría,M,A
563,Analista en Sistemas de Información,M,A
564,Analista en Sistemas de Información,F,P
565,Licenciatura en Kinesiología y Fisiatría,F,A
566,Analista en Sistemas de Información,M,A
567,Analista en Sistemas de Información,F,P
568,Tecnicatura Superior en Gestión Ambiental,F,P
569,Tecnicatura Superior en Gestión Ambiental,F,A
570,Tecnicatura Superior en Gestión Ambiental,F,A
571,Tecnicatura Superior en Gestión Ambiental,F,A
572,Tecnicatura Superior en Gestión Ambiental,F,A
573,Tecnicatura Superior en Gestión Ambiental,F,A
574,Tecnicatura Superior en Gestión Ambiental,M,A
575,Tecnicatura Universitaria en Agroalimentos,F,A
576,Ingeniería en Agroindustria,M,A
577,Licenciatura en Enfermería,F,A
578,Licenciatura en Enfermería,F,A
579,Licenciatura en Enfermería,F,P
580,Licenciatura en Enfermería,F,A
581,Licenciatura en Enfermería,M,P
582,Licenciatura en Enfermería,F,A
583,Licenciatura en Enfermería,F,A
584,Licenciatura en Enfermería,F,A
585,Licenciatura en Enfermería,F,P
586,Licenciatura en Enfermería,F,P
587,Licenciatura en Enfermería,M,P
588,Licenciatura en Enfermería,F,A
589,Licenciatura en Enfermería,F,A
590,Licenciatura en Enfermería,F,P
591,Licenciatura en Obstetricia,F,P
592,Licenciatura en Obstetricia,F,A
593,Licenciatura en Obstetricia,F,P
594,Licenciatura en Obstetricia,F,P
595,Licenciatura en Obstetricia,F,P
596,Licenciatura en Obstetricia,F,A
597,Licenciatura en Obstetricia,F,P
598,Licenciatura en Economía,F,A
599,Licenciatura en Economía,M,A
600,Licenciatura en Economía,F,A
601,Licenciatura en Economía,F,P
602,Licenciatura en Economía,F,A
603,Licenciatura en Economía,M,P
604,Tecnicatura Universitaria en Logística,F,P
605,Tecnicatura Universitaria en Logística,M,P
606,Licenciatura en Enfermería,F,P
607,Licenciatura en Enfermería,F,P
608,Licenciatura en Enfermería,F,A
609,Licenciatura en Enfermería,M,P
610,Licenciatura en Enfermería,F,P
611,Licenciatura en Enfermería,F,P
612,Licenciatura en Enfermería,F,A
613,Licenciatura en Enfermería,F,A
614,Licenciatura en Enfermería,F,P
615,Licenciatura en Enfermería,F,P
616,Licenciatura en Enfermería,M,A
617,Licenciatura en Enfermería,F,A
618,Licenciatura en Enfermería,F,P
619,Licenciatura en Enfermería,F,P
620,Licenciatura en Enfermería,F,P
621,Licenciatura en Enfermería,F,A
622,Licenciatura en Enfermería,M,P
623,Tecnicatura Universitaria en Logística,M,P
624,Tecnicatura Universitaria en Logística,M,P
625,Bioingeniería,M,A
626,Tecnicatura Universitaria en Agroalimentos,F,P
627,Programador Universitario de Sistemas,F,P
